date,win,podium,boatname,delta,ref,grp
2015-09-06,458.92,463.21,W1x,-127.02999999999997,M8+,M8+vW1x
2015-09-06,405.09,407.19,W2x,-71.00999999999999,M8+,M8+vW2x
2015-09-06,365.65,369.05,W8+,-32.870000000000005,M8+,M8+vW8+
2016-08-11,419.71,424.52,M2-,-57.70999999999998,M4x,M4xvM2-
2016-08-11,410.28,413.25,M2x,-46.44,M4x,M4xvM2x
2016-08-11,366.81,370.65,M4x,-3.839999999999975,M4x,M4xvM4x
2016-08-11,460.1,463.76,W2x,-96.94999999999999,M4x,M4xvW2x
2016-08-11,409.39,410.86,W4x,-44.05000000000001,M4x,M4xvW4x
2016-08-12,390.7,391.39,LM2x,-32.77999999999997,M4-,M4-vLM2x
2016-08-12,424.73,426.49,LW2x,-67.88,M4-,M4-vLW2x
2016-08-12,358.61,363.85,M4-,-5.240000000000009,M4-,M4-vM4-
2016-08-12,438.29,440.71,W2-,-82.09999999999997,M4-,M4-vW2-
2016-08-13,401.34,404.1,M1x,-74.47000000000003,M8+,M8+vM1x
2016-08-13,329.63,331.59,M8+,-1.9599999999999795,M8+,M8+vM8+
2016-08-13,441.54,444.13,W1x,-114.5,M8+,M8+vW1x
2016-08-13,361.49,364.1,W8+,-34.47000000000003,M8+,M8+vW8+
2016-08-27,436.28,446.15,W4-,-9.870000000000005,W4-,W4-vW4-
